Archivo	Expresión prefija	Resultado
datos0001.txt	* + 3 4 2	14
datos0002.txt	- + 10 * 2 3 4	12
datos0003.txt	+ - 8 2 5	11
datos0004.txt	+ / 20 5 3	7
datos0005.txt	* 2 + 3 4	14
datos0006.txt	- 20 * 4 2	12
datos0007.txt	+ * - 5 3 2 7	11
datos0008.txt	* + 4 5 + 2 3	45
datos0009.txt	* - 100 / 20 5 2	192
datos0010.txt	- + 7 * 2 3 / 4 2	11
datos0011.txt	* / - 15 3 + 2 1 - + 8 2 6	16
datos0012.txt	- * / 25 5 + 7 3 4	46
datos0013.txt	/ * + 6 2 + 3 4 - 5 1	14
datos0014.txt	+ * / 9 3 - 8 2 - 7 5	20
datos0015.txt	* - 50 * 5 2 + / 8 4 3	200
