581 2259
1 413 19
1 300 70
1 407 71
1 566 52
1 384 71
1 527 24
2 307 7
2 568 50
2 396 20
2 417 74
3 494 75
3 504 29
3 503 56
3 516 64
4 552 15
4 461 10
4 417 38
4 472 91
4 459 28
4 309 2
4 313 80
4 344 31
4 564 69
4 451 64
4 302 1
5 404 46
5 447 38
5 460 91
5 357 83
5 384 56
5 383 10
5 304 17
5 427 38
5 576 24
5 535 14
6 419 67
6 502 20
6 508 70
6 325 18
6 308 38
6 513 62
6 376 92
6 294 30
6 349 53
6 377 70
6 331 75
6 462 73
6 328 86
6 320 69
7 536 92
7 573 72
7 385 25
7 512 21
7 402 64
7 366 48
7 345 87
7 420 1
7 454 7
7 530 52
7 538 26
8 401 86
8 412 15
8 490 66
8 380 64
8 491 64
8 308 59
8 494 91
8 579 33
8 552 50
8 532 48
8 566 89
8 295 68
8 479 74
8 448 90
9 382 39
9 363 88
9 567 1
9 423 16
9 327 94
9 464 25
9 428 72
9 313 51
9 333 23
9 354 90
9 474 84
9 365 85
10 344 96
10 376 74
10 351 75
10 518 27
10 556 66
11 440 13
11 578 19
11 422 92
11 445 52
11 416 48
11 322 26
11 531 66
11 294 88
11 297 12
12 390 84
12 504 41
12 500 37
12 392 22
12 329 4
13 545 5
13 406 51
13 540 30
13 518 26
13 565 60
14 338 87
14 427 85
14 466 13
14 311 27
14 505 53
14 471 35
14 478 92
14 480 75
14 526 79
14 476 79
15 566 63
15 384 18
15 385 57
15 523 24
15 413 81
15 298 76
15 296 49
15 515 81
15 425 39
15 306 91
15 535 62
15 546 34
16 555 27
16 554 82
16 333 41
16 544 31
16 413 15
16 526 1
16 559 87
16 328 79
16 480 35
16 531 66
17 560 48
17 395 15
17 398 39
17 350 81
17 397 1
17 399 91
17 435 39
17 495 17
17 291 55
17 516 50
17 298 86
17 526 10
17 440 49
17 422 67
18 294 84
18 430 14
18 453 40
18 384 27
18 463 55
18 547 69
18 337 91
18 533 34
18 428 98
18 516 54
18 358 58
18 581 31
18 499 86
19 376 23
