15 73
0 1 6
1 2 2
0 3 6
2 4 11
2 5 14
0 6 6
0 7 19
6 8 20
7 9 19
4 10 1
3 11 14
7 12 20
2 13 2
12 14 17
3 13 20
13 12 17
0 9 4
4 2 18
5 6 2
5 0 9
6 10 3
8 2 9
10 9 10
10 5 6
2 3 4
12 8 20
6 3 9
10 11 18
2 11 19
0 11 5
13 2 8
5 11 13
6 12 11
7 3 10
1 6 20
2 6 10
11 0 10
6 11 2
1 5 3
8 0 12
1 3 3
12 2 6
5 7 12
1 9 14
11 7 10
0 10 19
2 9 18
9 4 14
1 4 5
0 13 19
9 2 11
13 9 20
2 7 15
14 6 13
12 3 1
0 12 19
2 14 4
8 7 4
11 1 3
14 10 15
8 5 3
3 14 14
0 2 3
13 6 1
6 4 12
5 12 7
13 4 15
8 14 20
5 2 4
3 4 5
3 9 3
8 6 15
10 14 2
1
